candidate,dimension,stratum,n_runners,n_races,n_wins,actual_rate,mean_prob,calibration_gap,ae,brier,race_log_loss
market_only__none,overall,ALL,5561,618,619,0.11131091530300306,0.1111310915303003,0.0001798237727027585,1.0016181229773464,0.08472222781329242,
indep_only__none,odds_band,11.0-21.0,1083,486,70,0.06463527239150507,0.0915920013041059,-0.026956728912600827,0.7056868664426442,0.061455040501333956,
indep_only__none,odds_band,2.0-3.0,220,194,97,0.4409090909090909,0.2315273169931095,0.20938177391598142,1.904350193468587,0.2943292623836349,
indep_only__none,odds_band,21.0-51.0,981,455,30,0.03058103975535168,0.07218094030824361,-0.04159990055289193,0.42367195030651456,0.03252160407071561,
indep_only__none,odds_band,3.0-5.0,678,422,159,0.2345132743362832,0.17675380101409904,0.057759473322184146,1.3267792431664702,0.18570315919494124,
indep_only__none,odds_band,5.0-8.0,901,478,138,0.15316315205327413,0.1361730492497929,0.016990102803481233,1.124768468482445,0.1328975373391041,
indep_only__none,odds_band,51.0+,1008,363,3,0.002976190476190476,0.051364134338465726,-0.048387943862275254,0.05794296963283303,0.006008816157503953,
indep_only__none,odds_band,8.0-11.0,583,368,65,0.11149228130360206,0.11227298721417857,-0.0007807059105765096,0.9930463602158621,0.10002733080349366,
indep_only__none,odds_band,<2.0 (odds-on),107,107,57,0.5327102803738317,0.34859025220673046,0.18412002816710127,1.5281846724099142,0.30280918948021524,
indep_only__none,field_size,12-15,1394,110,110,0.07890961262553801,0.07890961262553801,0.0,1.0,0.06817167229918619,2.251225361152797
indep_only__none,field_size,16+,711,41,41,0.057665260196905765,0.057665260196905765,0.0,1.0,0.05287649099942939,2.6494520444976084
indep_only__none,field_size,2-5,391,92,92,0.23529411764705882,0.23529411764705882,0.0,1.0,0.1628795091009483,1.2885406140507463
indep_only__none,field_size,6-8,1392,202,203,0.14583333333333334,0.14511494252873564,0.0007183908045977072,1.004950495049505,0.11751821479238463,1.7927163873170773
indep_only__none,field_size,9-11,1673,173,173,0.10340705319784818,0.10340705319784818,0.0,1.0,0.08710999865025287,2.0259972645564233
indep_only__none,regime,all_weather / middle(9.5-12f),131,14,14,0.10687022900763359,0.10687022900763359,0.0,1.0,0.09317377006910543,2.1465736825477855
indep_only__none,regime,all_weather / mile(7-9.5f),609,63,63,0.10344827586206896,0.10344827586206896,0.0,1.0,0.07943365804231413,1.7933915011082828
